Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Recommended Field
5,3,3,4,4,2,2,5,2,3,4,1,3,5,4,4,4,3,1,3,DevOps
3,2,4,1,3,3,5,2,3,5,1,5,5,4,3,2,3,1,4,1,AI and Machine Learning
4,2,5,3,4,4,5,5,4,1,4,2,2,3,2,4,1,5,4,4,DevOps
4,5,5,2,4,4,1,1,4,5,5,2,2,3,5,4,3,3,2,5,Game Development
2,1,1,2,5,4,5,4,2,2,1,1,3,5,2,1,5,5,3,1,AI and Machine Learning
4,5,4,2,4,4,3,3,1,1,3,2,2,5,5,1,2,3,2,3,DevOps
2,4,5,4,5,5,4,4,5,4,5,5,2,3,5,4,1,3,3,1,Front-End Development
2,1,5,4,2,3,2,2,3,3,2,4,5,3,1,5,4,3,3,3,Cybersecurity
4,1,4,5,5,5,1,4,3,2,1,3,4,3,5,3,4,3,4,4,AI and Machine Learning
1,1,1,4,3,4,3,5,1,1,5,4,2,4,1,3,5,2,2,1,Data Analysis
2,2,3,4,4,4,2,5,5,2,4,1,5,1,1,4,1,5,2,1,Back-End Development
4,1,2,3,2,4,3,2,1,5,5,3,2,4,2,1,3,3,4,1,UI/UX Design
1,3,5,1,1,1,1,1,5,4,1,5,5,1,4,3,5,3,4,4,DevOps
3,1,4,1,4,3,4,2,1,1,3,3,5,3,1,5,5,4,4,2,UI/UX Design
4,5,5,3,2,5,2,3,5,3,5,4,1,5,2,1,5,4,4,3,Cybersecurity
4,1,5,1,5,2,4,3,3,3,2,2,1,1,2,3,5,4,4,3,Data Analysis
3,2,2,5,1,1,4,5,5,2,1,2,4,5,3,2,3,4,1,1,Cybersecurity
4,2,3,4,3,5,5,5,5,5,3,4,3,3,1,4,2,4,1,3,Front-End Development
3,3,5,2,1,1,2,2,1,5,5,1,2,3,5,5,2,1,1,2,AI and Machine Learning
2,2,2,4,2,3,1,5,5,3,2,4,2,4,4,5,4,3,1,3,AI and Machine Learning
1,1,4,1,1,5,5,3,4,4,2,1,5,4,2,5,1,5,2,4,AI and Machine Learning
3,2,1,5,4,5,5,4,1,4,3,4,5,1,1,3,5,3,2,5,DevOps
5,5,2,4,1,3,4,2,3,1,4,3,4,4,1,3,5,5,5,2,Back-End Development
1,2,1,3,5,2,3,1,5,2,3,1,4,5,5,5,5,4,4,5,Back-End Development
4,4,3,2,1,1,1,5,5,2,2,3,4,2,2,2,2,1,4,4,Game Development
3,1,3,1,3,4,5,5,1,4,1,4,4,3,3,5,1,3,4,2,DevOps
3,2,1,5,4,3,4,3,4,4,1,1,2,1,3,3,5,1,2,4,UI/UX Design
5,3,5,1,1,2,2,4,3,4,1,4,1,5,3,5,4,3,3,3,Embedded Systems
4,1,2,2,3,4,1,1,5,2,4,4,3,5,5,4,1,4,2,1,UI/UX Design
5,4,5,2,2,1,1,1,3,1,1,4,4,5,4,4,1,4,2,3,Back-End Development
1,1,2,4,2,4,2,5,1,1,3,2,5,2,5,2,4,2,2,1,DevOps
1,1,3,4,1,2,1,1,1,5,5,2,4,5,3,2,1,1,4,1,Front-End Development
4,5,2,1,3,4,2,3,5,5,5,5,2,5,4,2,4,4,2,1,Game Development
2,2,4,4,4,3,2,5,5,1,4,3,1,4,2,3,2,5,5,2,Cybersecurity
2,5,2,1,1,3,4,4,1,4,4,5,4,1,2,1,3,5,5,5,Embedded Systems
5,3,1,2,1,5,3,2,2,2,1,2,3,3,5,1,1,5,4,3,UI/UX Design
1,2,2,2,3,4,4,2,2,5,3,5,4,5,4,3,3,4,2,4,Back-End Development
4,2,5,5,4,3,2,3,5,2,4,4,3,4,5,2,1,5,2,4,Front-End Development
4,3,2,4,5,4,1,3,1,3,5,1,2,4,2,1,1,4,3,4,Embedded Systems
3,4,1,1,1,5,4,1,1,3,3,1,5,5,5,1,5,3,2,5,Game Development
2,1,2,1,4,4,4,1,4,2,4,4,5,1,4,3,3,5,3,1,Front-End Development
1,3,5,5,4,4,2,4,3,2,1,1,3,2,4,3,5,4,2,4,Back-End Development
1,3,5,1,1,3,2,3,3,5,2,1,3,4,4,5,1,5,4,1,DevOps
2,2,5,1,5,1,1,2,4,5,2,4,1,5,1,3,4,4,3,4,Data Analysis
1,4,4,5,4,2,3,3,3,5,3,1,4,1,3,4,3,1,3,1,AI and Machine Learning
4,3,5,2,2,2,3,4,5,3,1,2,3,1,3,3,3,1,1,2,DevOps
1,2,2,5,4,3,2,1,5,5,2,4,5,1,1,3,1,4,4,4,UI/UX Design
3,5,3,4,4,5,3,5,1,3,3,2,5,5,1,2,5,3,1,1,Back-End Development
5,5,4,4,4,4,2,1,5,4,1,5,4,5,2,5,2,5,3,4,Cybersecurity
4,1,5,2,3,1,2,1,1,3,4,5,4,2,4,5,2,2,4,1,Cybersecurity
5,3,4,5,5,3,5,3,3,2,5,3,1,4,5,3,2,4,1,5,Game Development
2,2,4,3,1,2,1,3,4,1,2,3,1,3,5,5,1,2,4,2,UI/UX Design
4,5,5,1,2,3,1,2,3,5,3,4,1,4,1,1,1,5,3,2,DevOps
5,5,2,2,4,2,1,2,5,3,3,5,1,5,5,3,3,1,5,4,AI and Machine Learning
1,5,3,1,4,5,3,5,5,5,1,3,2,3,3,5,4,1,1,3,UI/UX Design
2,5,4,4,1,2,1,4,4,3,1,1,4,5,5,5,3,2,5,1,Embedded Systems
2,1,2,3,1,1,2,1,5,4,3,4,1,3,2,4,4,3,1,3,UI/UX Design
4,4,5,3,1,3,2,3,4,1,1,1,3,2,4,3,1,3,4,1,AI and Machine Learning
4,2,1,1,5,4,5,3,1,5,3,4,3,2,4,1,3,3,1,2,Front-End Development
2,1,5,2,5,1,3,1,1,4,3,2,1,5,2,2,3,4,4,3,Cybersecurity
3,3,3,5,3,5,2,3,3,1,2,2,3,1,3,3,1,5,2,3,Data Analysis
3,5,2,1,2,1,2,2,3,1,3,2,1,4,1,3,4,2,5,5,Back-End Development
2,2,1,4,2,5,2,3,2,3,5,3,2,4,4,1,2,5,1,5,UI/UX Design
2,1,5,4,5,1,5,1,3,2,2,4,4,5,4,4,5,3,3,3,Embedded Systems
2,1,5,3,2,5,4,1,2,2,1,3,1,4,3,2,5,4,4,1,Back-End Development
3,4,5,2,4,2,3,4,4,2,1,1,1,1,5,2,1,4,5,2,AI and Machine Learning
3,2,4,1,5,2,5,1,4,2,2,4,1,3,4,3,3,5,4,2,Data Analysis
3,3,5,1,4,2,5,1,3,2,3,4,4,5,4,3,4,3,3,2,DevOps
1,5,5,4,3,5,3,4,2,4,1,1,5,3,2,1,1,5,3,1,Data Analysis
3,1,1,4,3,2,3,4,5,3,2,5,2,4,5,4,1,2,3,2,DevOps
2,5,5,2,4,5,3,2,2,2,1,4,5,1,1,1,1,5,2,5,Data Analysis
2,5,2,5,1,1,4,5,2,5,3,2,3,5,3,5,1,1,2,4,Front-End Development
1,1,3,4,4,3,1,4,5,5,1,1,2,1,4,1,1,2,1,2,DevOps
2,3,1,4,2,1,1,3,5,4,2,3,4,2,4,1,2,3,4,1,Embedded Systems
4,2,5,2,3,4,5,4,4,5,5,1,3,2,3,1,1,5,1,3,Back-End Development
2,1,1,2,2,4,1,1,4,5,3,4,5,5,3,2,2,4,5,3,DevOps
5,5,2,1,3,3,3,4,4,5,5,5,1,1,5,3,5,1,2,2,Data Analysis
5,2,3,5,2,1,5,1,2,4,2,4,4,5,1,4,5,3,3,3,Front-End Development
5,1,4,2,3,5,2,4,5,1,3,5,1,3,4,4,5,1,1,1,Embedded Systems
5,3,2,3,3,4,5,4,5,1,4,3,2,5,2,3,3,5,5,5,Front-End Development
1,2,4,1,3,5,2,2,4,2,3,5,4,1,5,4,5,2,5,1,Game Development
3,5,1,3,5,4,3,5,2,2,2,5,4,3,4,3,3,2,3,2,Data Analysis
5,5,2,1,4,5,4,3,3,4,1,1,5,5,5,4,2,5,2,2,DevOps
1,5,4,4,4,2,3,3,3,2,1,3,5,4,3,2,4,5,2,4,Cybersecurity
1,5,2,1,4,5,1,3,4,5,4,2,3,2,4,5,2,4,5,3,UI/UX Design
3,5,5,1,1,2,4,1,3,4,3,2,2,3,3,1,5,3,2,2,DevOps
4,5,4,5,5,1,5,1,5,2,3,2,2,3,2,2,2,1,2,3,AI and Machine Learning
5,5,3,2,1,5,5,4,4,5,5,4,1,2,1,3,4,1,1,5,Back-End Development
2,4,5,2,1,4,3,3,2,4,5,2,1,5,3,4,3,3,4,1,AI and Machine Learning
3,4,1,4,3,1,1,2,1,5,1,4,3,1,5,1,1,5,3,5,AI and Machine Learning
3,5,5,5,4,2,2,1,3,2,1,2,1,4,5,5,4,2,4,1,AI and Machine Learning
3,3,2,1,4,3,4,2,5,3,1,2,4,4,3,3,2,1,3,3,Embedded Systems
1,4,4,4,3,4,5,1,3,1,2,2,1,1,1,2,5,4,3,5,Data Analysis
3,2,4,2,3,4,2,4,3,1,1,1,1,1,5,2,3,1,2,2,AI and Machine Learning
4,2,2,1,1,3,5,1,5,2,3,4,1,2,1,5,2,5,4,5,UI/UX Design
1,2,5,4,5,1,3,1,1,4,4,3,5,2,4,1,3,1,3,3,Data Analysis
2,2,2,4,5,5,5,5,2,4,5,3,4,3,3,3,5,4,3,4,Cybersecurity
2,4,3,5,4,3,1,2,4,1,1,3,3,4,2,2,4,4,4,1,Embedded Systems
2,5,4,3,5,2,2,1,1,3,2,1,2,1,3,4,2,5,5,4,Back-End Development
2,1,3,4,5,2,3,4,3,5,3,3,1,1,2,5,2,2,1,4,Game Development
5,5,4,2,3,4,3,5,5,2,4,4,1,1,4,4,1,2,1,3,Game Development
3,1,4,5,3,5,3,3,3,2,4,3,3,1,1,1,5,3,1,1,Cybersecurity
5,4,1,4,5,2,3,4,4,4,3,3,3,4,1,1,4,3,4,2,Front-End Development
3,1,5,4,5,4,2,3,3,1,3,5,4,3,3,3,2,3,4,3,Game Development
5,2,1,4,5,2,5,5,4,5,3,5,3,2,1,2,1,5,4,2,AI and Machine Learning
5,5,1,2,4,5,3,1,5,3,1,1,2,2,5,4,3,2,5,2,Back-End Development
1,1,3,2,4,5,2,4,2,4,1,5,2,2,3,2,5,2,1,3,Front-End Development
3,4,5,2,2,5,1,2,4,5,2,1,4,3,3,5,2,5,2,2,Front-End Development
2,1,5,5,5,3,3,2,4,5,3,4,5,3,4,4,4,1,1,5,DevOps
1,5,1,1,2,2,2,3,5,1,5,2,5,1,1,4,3,5,1,1,Game Development
1,4,4,3,2,4,3,5,3,4,3,5,1,4,1,2,2,4,3,1,Front-End Development
4,3,4,2,2,2,4,5,5,1,3,3,4,5,4,1,5,5,1,2,Embedded Systems
1,5,2,4,1,3,1,5,3,3,3,3,2,4,1,4,3,5,4,5,Game Development
2,2,3,2,2,1,1,2,2,4,1,4,1,2,1,1,1,5,5,5,Game Development
5,3,2,5,3,4,2,4,4,3,5,4,1,4,5,1,2,1,5,2,DevOps
4,4,1,5,2,3,5,1,2,1,4,2,2,5,2,2,3,2,2,5,DevOps
2,5,5,5,3,4,5,2,3,5,3,5,4,5,2,2,1,2,3,2,Game Development
4,3,2,2,3,1,4,2,1,1,1,1,3,1,4,5,5,1,1,1,Front-End Development
1,4,2,1,1,4,5,3,3,4,5,4,3,1,1,4,2,3,4,2,Back-End Development
3,3,1,4,4,2,3,1,2,2,2,2,3,2,5,5,4,1,3,4,Data Analysis
2,2,3,3,5,4,2,2,4,2,2,2,3,5,1,3,4,1,1,2,DevOps
2,1,4,5,2,4,1,2,5,4,3,2,2,2,4,4,3,2,1,4,UI/UX Design
2,3,1,1,1,3,4,1,3,2,3,3,5,5,4,2,1,3,5,3,UI/UX Design
5,3,5,4,2,2,1,1,2,3,5,1,2,5,3,2,4,5,1,1,Front-End Development
5,5,5,1,2,2,2,4,2,5,5,1,2,4,4,4,1,5,1,2,Data Analysis
1,5,2,3,3,5,1,5,5,5,2,3,1,1,1,4,5,4,5,5,AI and Machine Learning
1,2,2,5,4,5,5,3,3,2,3,2,5,5,2,4,2,1,5,2,DevOps
5,5,5,3,3,2,4,1,1,5,2,4,1,5,3,3,1,3,5,1,DevOps
3,1,1,5,5,1,1,1,3,3,4,3,2,3,1,2,3,2,4,4,Cybersecurity
1,3,1,4,5,4,4,2,5,3,2,2,3,4,2,5,2,3,4,3,UI/UX Design
4,2,2,4,2,2,3,2,1,4,2,2,4,4,5,4,1,4,2,3,Data Analysis
5,4,1,3,1,1,5,1,5,3,2,5,3,5,5,1,1,5,3,5,DevOps
2,1,2,4,1,5,4,5,4,3,2,1,2,2,2,3,1,5,4,5,DevOps
1,2,3,4,5,5,2,5,2,5,5,1,4,3,2,1,5,3,2,3,AI and Machine Learning
5,1,5,4,3,2,5,5,3,2,4,5,5,3,4,2,2,2,1,5,Data Analysis
5,4,2,1,3,2,3,1,5,1,5,2,3,4,5,1,4,5,5,5,UI/UX Design
3,3,5,2,1,5,4,4,4,2,1,2,5,1,4,3,1,1,1,4,DevOps
4,5,4,2,1,2,4,3,4,3,2,2,2,3,1,2,3,5,2,3,Back-End Development
5,3,1,5,5,4,3,3,4,4,5,1,5,5,1,4,1,5,1,3,Front-End Development
3,3,5,4,2,1,5,5,2,1,1,3,3,4,1,1,1,1,1,4,UI/UX Design
4,3,4,1,4,4,1,2,2,4,1,3,4,5,4,2,4,3,4,3,UI/UX Design
5,3,1,3,2,1,3,4,2,4,1,1,5,5,2,3,2,5,5,5,Data Analysis
3,4,4,4,1,2,4,2,4,2,1,4,4,2,4,3,4,4,4,4,Cybersecurity
5,3,5,5,4,2,1,5,4,2,1,5,5,1,2,5,4,3,3,1,UI/UX Design
4,2,2,4,4,3,1,3,4,4,3,4,5,1,4,3,4,4,4,5,UI/UX Design
3,3,3,5,2,2,2,2,2,5,4,3,1,4,3,4,1,1,2,2,Game Development
3,2,3,3,1,2,4,3,1,4,3,1,4,1,5,4,5,4,5,5,Back-End Development
4,4,3,1,3,3,4,2,3,1,2,4,3,3,3,3,5,5,4,4,Cybersecurity
2,2,2,3,4,3,4,4,3,5,4,1,4,5,2,1,2,1,4,5,AI and Machine Learning
1,2,3,2,5,5,3,1,1,5,2,3,5,3,4,2,1,3,1,2,UI/UX Design
1,4,4,1,4,5,3,4,4,3,5,4,5,1,2,5,5,1,5,2,Data Analysis
1,4,4,2,2,4,3,5,3,5,1,1,4,3,4,5,4,4,3,2,DevOps
5,4,4,3,3,1,5,4,3,1,1,1,4,2,4,1,2,1,5,1,Front-End Development
5,3,1,4,1,1,3,1,5,3,4,5,5,5,5,4,3,1,1,5,Data Analysis
4,4,5,2,3,2,5,2,3,4,2,1,1,1,3,2,2,1,1,4,Front-End Development
2,3,1,4,5,1,4,3,5,3,5,2,4,5,5,5,5,1,5,5,Back-End Development
1,3,2,3,4,4,4,4,3,2,2,3,4,2,4,3,1,1,1,5,Embedded Systems
5,2,5,3,1,2,1,3,4,3,5,5,3,4,2,4,2,4,4,2,Back-End Development
3,2,4,2,3,5,1,5,5,3,2,3,1,2,1,4,2,4,2,3,Front-End Development
1,3,5,2,4,5,3,5,5,4,5,2,2,4,4,1,4,1,5,1,Cybersecurity
4,5,4,1,2,2,5,3,3,1,1,2,2,2,3,3,5,4,4,5,DevOps
1,2,5,1,1,3,3,5,3,2,2,4,5,2,4,4,5,2,1,3,Game Development
3,2,5,4,3,5,1,3,1,4,5,5,2,2,2,3,1,5,4,3,Embedded Systems
3,1,2,2,4,4,5,2,3,5,1,2,5,3,3,1,4,3,3,3,AI and Machine Learning
2,3,3,3,3,4,4,5,4,3,1,4,5,2,2,2,2,3,3,1,Cybersecurity
3,1,4,5,3,2,2,3,1,2,1,5,3,2,2,3,1,3,5,2,Back-End Development
5,5,4,4,5,4,2,3,1,2,4,4,4,2,4,2,1,5,4,2,Front-End Development
1,2,1,3,1,4,4,2,3,2,5,3,2,4,3,2,3,2,3,3,Front-End Development
3,4,5,1,1,5,5,5,2,3,2,2,4,5,2,3,2,2,5,1,Cybersecurity
5,1,1,2,3,3,5,4,1,4,5,2,2,2,2,3,1,2,5,1,Cybersecurity
3,4,1,3,1,3,2,4,4,2,4,5,5,5,4,3,5,2,5,3,Embedded Systems
5,2,1,3,4,5,2,4,3,5,3,5,2,2,1,4,1,2,5,1,Data Analysis
1,1,1,1,1,5,5,5,1,4,1,1,1,3,5,3,4,5,3,5,UI/UX Design
4,3,2,4,2,5,5,1,2,4,3,3,5,5,3,2,5,2,4,2,Embedded Systems
4,4,4,4,5,5,2,4,3,4,2,3,1,3,5,1,5,1,4,4,UI/UX Design
3,3,5,5,4,5,1,3,5,3,3,4,1,5,2,5,5,3,3,1,Game Development
2,2,1,1,4,1,4,2,4,4,5,1,1,2,3,2,4,3,4,1,Back-End Development
2,1,1,1,3,2,3,3,5,1,5,3,1,1,3,4,2,5,2,1,DevOps
1,2,4,4,4,2,1,3,1,5,4,5,3,1,1,3,4,3,3,1,AI and Machine Learning
4,3,1,2,3,1,2,3,4,1,2,3,1,5,4,1,3,3,2,5,Back-End Development
4,5,4,5,4,4,4,2,4,4,4,2,2,4,1,3,3,2,2,5,Front-End Development
4,1,3,5,5,2,4,3,4,5,3,4,2,2,3,1,2,4,2,2,Front-End Development
4,4,3,5,4,2,2,5,5,4,1,5,3,5,3,2,3,2,2,4,Game Development
4,1,1,1,5,4,3,3,2,2,5,4,3,5,5,1,2,1,5,3,Cybersecurity
4,5,1,1,4,2,3,1,5,2,3,4,5,1,1,1,5,5,4,3,Back-End Development
5,5,2,5,4,3,2,1,3,4,5,2,2,5,2,4,3,1,5,1,Front-End Development
5,5,2,5,1,3,5,5,3,5,2,4,1,2,3,2,4,5,4,4,Back-End Development
1,4,5,3,2,2,5,1,5,2,4,5,2,5,3,1,4,3,1,2,Embedded Systems
2,4,3,5,5,2,5,5,5,5,4,5,5,5,3,5,4,2,3,3,AI and Machine Learning
4,2,5,4,5,3,3,1,4,3,3,1,3,3,5,4,1,4,4,1,AI and Machine Learning
3,3,1,3,5,3,2,5,3,1,3,1,3,1,1,1,4,3,1,3,Front-End Development
3,5,4,3,4,2,1,4,1,2,3,2,2,2,2,4,3,1,5,2,Cybersecurity
5,4,2,4,5,1,5,2,3,1,1,2,3,4,4,1,2,4,5,5,UI/UX Design
2,5,1,2,4,4,2,4,3,5,1,4,4,2,2,1,3,3,4,2,Back-End Development
5,4,2,4,1,4,4,2,5,3,3,5,4,5,1,5,2,3,5,1,Game Development
5,1,1,3,5,4,4,2,2,2,3,4,2,1,2,1,5,5,3,5,UI/UX Design
5,3,4,5,4,1,2,4,3,5,2,3,2,5,3,4,1,4,3,3,UI/UX Design
3,2,3,1,4,4,3,5,3,3,4,2,5,3,1,1,5,4,4,1,Front-End Development
4,2,4,3,1,2,1,5,2,2,1,3,4,2,3,3,4,2,4,3,Game Development
1,5,2,4,3,5,4,3,3,3,4,5,3,3,3,4,5,1,3,2,DevOps
5,1,3,1,3,2,2,2,3,3,2,3,5,1,5,2,1,5,4,3,Cybersecurity
3,3,5,3,1,1,2,5,1,4,5,5,2,4,5,1,1,4,2,5,Cybersecurity
5,4,4,3,5,5,5,4,5,5,5,5,5,1,1,2,4,1,1,2,Front-End Development
2,2,4,4,5,1,3,3,2,3,4,5,3,2,1,5,4,1,5,1,Game Development
4,3,3,1,4,4,2,2,4,5,3,2,1,4,5,1,1,2,2,2,Data Analysis
4,3,2,5,5,2,2,2,1,1,4,3,3,2,1,2,3,3,4,4,AI and Machine Learning
1,5,3,4,4,4,1,3,3,3,4,2,4,3,3,3,1,2,4,2,Embedded Systems
2,2,4,1,4,5,1,1,3,5,4,1,1,4,4,5,2,3,1,1,Embedded Systems
4,2,2,3,4,3,4,5,4,5,3,1,3,3,2,2,5,1,4,3,Game Development
1,5,4,2,2,2,3,4,1,4,1,4,3,5,5,4,2,3,3,5,Cybersecurity
2,3,1,1,1,5,5,1,2,2,2,4,1,4,4,3,3,1,5,2,Cybersecurity
4,5,1,5,1,5,3,2,3,3,5,2,2,3,4,4,2,3,3,1,Back-End Development
5,3,4,3,4,3,1,4,5,1,3,5,3,2,1,2,2,2,3,2,DevOps
5,2,3,2,3,4,1,5,3,2,3,4,4,5,5,2,1,5,5,1,Embedded Systems
4,1,5,5,2,5,2,3,2,3,5,1,4,4,1,4,2,3,4,3,Cybersecurity
4,5,5,4,5,1,1,5,5,4,3,2,2,4,5,1,3,3,5,5,Data Analysis
5,3,5,3,3,4,2,5,4,5,3,3,4,4,3,1,4,4,4,3,AI and Machine Learning
4,5,5,4,2,1,5,2,2,1,5,3,5,2,3,3,4,1,2,1,Back-End Development
2,1,3,2,4,3,2,1,2,1,5,2,4,4,4,5,5,2,4,4,AI and Machine Learning
2,5,2,5,4,2,5,1,1,4,3,4,5,1,1,4,2,2,2,1,AI and Machine Learning
5,4,5,5,4,5,4,4,5,2,5,4,3,2,3,1,4,1,3,5,Front-End Development
3,1,2,1,5,2,1,4,5,3,4,3,5,1,3,3,2,2,4,5,UI/UX Design
2,2,3,2,3,5,2,4,2,5,3,5,2,2,4,3,3,4,2,5,Front-End Development
5,4,1,2,5,4,4,3,2,3,5,4,5,3,1,1,5,2,1,1,Cybersecurity
2,3,4,5,5,2,3,5,4,5,4,2,3,5,5,2,1,1,5,2,Data Analysis
2,2,1,5,5,3,3,2,2,5,5,2,3,1,3,2,5,1,1,4,Game Development
5,1,3,1,5,1,1,5,2,4,5,5,5,3,4,2,3,3,4,5,UI/UX Design
5,1,4,3,5,1,2,2,4,5,3,4,2,4,4,4,5,2,3,5,Game Development
4,5,1,3,3,2,3,4,3,4,4,5,3,4,3,4,4,4,5,2,UI/UX Design
3,1,2,2,4,4,5,1,2,1,5,1,4,3,1,2,3,5,2,2,Front-End Development
3,3,2,4,3,2,1,1,1,2,3,1,3,2,2,3,3,1,3,5,Game Development
5,2,5,3,4,3,2,1,4,2,5,4,1,3,2,3,5,2,3,2,Back-End Development
2,1,3,4,4,2,4,4,2,3,1,5,2,4,4,3,4,4,5,4,Game Development
1,5,2,1,1,1,1,5,2,5,5,4,2,2,1,3,3,3,1,5,Embedded Systems
2,2,2,3,5,3,2,4,1,3,4,3,3,3,1,1,5,2,5,4,Cybersecurity
5,1,3,1,2,2,5,1,2,4,2,1,5,3,1,3,5,2,4,5,Cybersecurity
4,3,5,5,3,1,1,3,4,4,3,4,2,2,5,2,1,3,2,2,AI and Machine Learning
2,1,2,3,2,5,4,5,3,1,3,2,1,1,3,4,3,2,1,4,Data Analysis
4,2,2,2,5,4,2,1,1,1,2,1,2,4,3,1,4,2,4,5,DevOps
5,5,4,1,3,4,1,1,4,1,2,1,3,5,2,3,3,4,2,1,Back-End Development
4,4,4,4,3,1,4,1,5,3,4,1,2,1,3,4,5,5,2,4,Back-End Development
2,5,5,5,3,2,5,3,3,1,5,4,4,1,5,5,1,1,5,4,Cybersecurity
5,4,1,2,2,2,2,4,5,3,1,5,2,5,1,3,1,5,1,5,Cybersecurity
2,4,4,2,4,5,1,1,5,1,2,1,2,1,3,2,3,1,1,4,Game Development
1,4,2,5,4,2,5,1,3,4,1,4,1,1,4,3,4,1,3,1,Front-End Development
2,5,2,5,4,5,3,4,3,5,5,3,1,4,4,5,1,1,5,3,UI/UX Design
2,4,1,2,4,2,5,4,4,2,3,2,1,3,1,3,1,3,1,5,Back-End Development
4,2,1,4,1,3,1,3,3,3,5,2,5,4,5,4,4,1,3,4,Back-End Development
4,4,5,3,1,5,5,4,4,4,1,5,4,1,2,5,1,5,1,2,Back-End Development
2,2,2,3,2,2,4,1,5,1,4,5,4,4,4,5,3,5,5,3,Game Development
3,5,4,2,1,2,4,3,1,1,5,1,5,5,2,3,3,5,5,4,Data Analysis
3,5,2,3,1,2,2,4,2,1,2,4,3,2,2,5,3,3,4,1,DevOps
2,5,4,4,2,2,3,1,4,5,5,4,2,1,1,5,1,3,4,4,AI and Machine Learning
4,2,4,3,4,5,1,1,5,5,1,3,5,1,3,3,4,1,2,5,Back-End Development
2,4,4,4,2,2,3,3,1,4,4,3,3,1,3,1,5,3,5,5,Game Development
2,2,1,3,4,2,3,1,2,3,4,4,3,5,2,4,5,1,4,2,AI and Machine Learning
4,3,2,5,4,4,1,2,4,4,2,4,1,4,4,1,4,3,1,3,Data Analysis
3,3,1,4,5,1,2,3,2,5,1,2,3,3,3,5,5,5,4,4,AI and Machine Learning
4,3,4,1,5,3,4,3,1,4,3,5,1,5,4,3,5,1,1,5,Embedded Systems
5,3,1,5,2,2,3,2,4,3,3,2,2,5,1,3,3,2,1,2,Cybersecurity
1,1,1,1,3,3,3,5,5,4,1,1,4,5,2,3,4,5,3,4,DevOps
5,4,5,1,5,1,4,1,3,5,2,5,1,4,5,3,5,1,5,5,Data Analysis
4,2,4,1,5,4,4,2,3,4,1,2,5,2,4,4,1,4,3,3,Embedded Systems
5,4,4,2,5,3,5,3,2,5,1,1,2,4,5,5,2,5,1,5,Game Development
5,3,5,2,4,2,3,3,4,1,5,1,4,4,4,5,1,3,1,1,Embedded Systems
1,5,1,4,5,5,1,4,3,4,4,3,2,2,5,2,2,4,1,2,Embedded Systems
4,1,1,3,2,2,1,3,2,1,5,3,5,2,3,2,1,1,4,3,Front-End Development
5,2,2,5,5,2,3,2,5,5,5,3,3,1,5,2,2,4,4,1,Data Analysis
5,3,4,4,1,3,5,3,2,2,4,4,5,1,2,4,4,1,2,1,Data Analysis
2,5,2,5,5,1,5,1,1,2,5,1,4,2,3,2,5,2,3,4,Back-End Development
1,3,3,4,2,1,3,2,5,3,2,1,2,5,1,3,2,5,2,3,Front-End Development
3,1,4,5,3,4,1,4,2,3,3,2,5,1,5,1,4,3,5,1,Embedded Systems
2,4,2,5,1,3,5,5,1,4,4,2,2,1,3,4,5,1,2,4,AI and Machine Learning
3,2,5,5,2,1,1,3,1,1,1,2,4,5,3,4,2,3,1,3,Cybersecurity
5,2,2,2,3,5,3,3,2,2,4,1,2,1,3,3,2,1,1,4,DevOps
1,1,1,2,1,5,1,1,5,3,1,3,2,3,5,1,4,2,2,5,DevOps
4,1,2,5,5,2,5,3,2,1,2,1,1,4,3,4,4,5,1,5,Embedded Systems
3,3,3,4,5,3,5,3,5,1,3,3,4,5,3,4,1,5,1,3,Back-End Development
1,2,3,2,2,1,1,4,1,3,5,3,1,5,1,1,1,1,3,5,AI and Machine Learning
4,2,2,3,1,3,1,1,3,4,1,5,1,1,4,5,5,1,1,5,UI/UX Design
3,1,2,3,4,1,4,2,1,5,5,4,1,4,4,4,4,2,3,4,Embedded Systems
3,5,5,5,2,1,5,1,5,1,4,2,1,4,3,2,1,2,5,5,Embedded Systems
4,3,4,2,2,2,3,4,5,1,4,1,2,5,4,2,2,3,5,3,UI/UX Design
4,1,5,1,2,5,3,1,4,5,5,2,4,2,3,4,3,4,5,5,DevOps
2,4,2,4,5,1,5,1,2,5,3,3,2,2,1,5,5,5,4,2,Embedded Systems
5,1,1,5,1,3,1,3,5,4,1,1,5,2,3,1,2,4,4,2,DevOps
4,2,5,2,3,5,4,4,3,3,4,1,5,5,1,4,5,1,4,1,DevOps
4,4,3,4,5,5,1,4,2,1,4,3,3,2,5,3,3,2,3,4,Game Development
3,1,3,2,3,5,5,2,3,4,1,1,5,3,1,4,3,1,2,4,Front-End Development
1,2,5,3,4,5,3,3,5,3,4,3,3,4,2,2,4,1,4,5,Back-End Development
3,5,2,5,1,3,4,3,5,4,2,5,4,3,2,3,4,4,5,4,Front-End Development
3,4,1,3,4,2,5,5,1,5,2,2,4,4,2,4,2,3,4,3,AI and Machine Learning
1,5,4,5,5,5,2,4,2,3,3,4,1,2,3,4,2,4,3,5,Game Development
3,4,1,5,2,5,1,3,3,4,1,5,3,1,5,1,5,2,3,4,AI and Machine Learning
